(SCHEMES,"Schemes",3)
(COLON,":",3)
(ID,"loves",4)
(LEFT_PAREN,"(",4)
(ID,"E",4)
(COMMA,",",4)
(ID,"F",4)
(RIGHT_PAREN,")",4)
(ID,"hates",5)
(LEFT_PAREN,"(",5)
(ID,"C",5)
(COMMA,",",5)
(ID,"D",5)
(RIGHT_PAREN,")",5)
(FACTS,"Facts",6)
(COLON,":",6)
(ID,"loves",7)
(LEFT_PAREN,"(",7)
(STRING,"'bob'",7)
(COMMA,",",7)
(STRING,"'jane'",7)
(RIGHT_PAREN,")",7)
(PERIOD,".",7)
(ID,"loves",8)
(LEFT_PAREN,"(",8)
(STRING,"'jane'",8)
(COMMA,",",8)
(STRING,"'frankk'",8)
(RIGHT_PAREN,")",8)
(PERIOD,".",8)
(ID,"loves",9)
(LEFT_PAREN,"(",9)
(STRING,"'frankk'",9)
(COMMA,",",9)
(STRING,"'mary'",9)
(RIGHT_PAREN,")",9)
(PERIOD,".",9)
(ID,"loves",10)
(LEFT_PAREN,"(",10)
(STRING,"'mary'",10)
(COMMA,",",10)
(STRING,"'bob'",10)
(RIGHT_PAREN,")",10)
(PERIOD,".",10)
(ID,"loves",11)
(LEFT_PAREN,"(",11)
(STRING,"'john'",11)
(COMMA,",",11)
(STRING,"'john'",11)
(RIGHT_PAREN,")",11)
(PERIOD,".",11)
(ID,"hates",12)
(LEFT_PAREN,"(",12)
(STRING,"'bob'",12)
(COMMA,",",12)
(STRING,"'mary'",12)
(RIGHT_PAREN,")",12)
(PERIOD,".",12)
(ID,"hates",13)
(LEFT_PAREN,"(",13)
(STRING,"'mary'",13)
(COMMA,",",13)
(STRING,"'frankk'",13)
(RIGHT_PAREN,")",13)
(PERIOD,".",13)
(ID,"hates",14)
(LEFT_PAREN,"(",14)
(STRING,"'frankk'",14)
(COMMA,",",14)
(STRING,"'jane'",14)
(RIGHT_PAREN,")",14)
(PERIOD,".",14)
(ID,"hates",15)
(LEFT_PAREN,"(",15)
(STRING,"'jane'",15)
(COMMA,",",15)
(STRING,"'bob'",15)
(RIGHT_PAREN,")",15)
(PERIOD,".",15)
(ID,"hates",16)
(LEFT_PAREN,"(",16)
(STRING,"'gollum'",16)
(COMMA,",",16)
(STRING,"'gollum'",16)
(RIGHT_PAREN,")",16)
(PERIOD,".",16)
(RULES,"Rules",17)
(COLON,":",17)
(ID,"hates",18)
(LEFT_PAREN,"(",18)
(ID,"a",18)
(COMMA,",",18)
(ID,"b",18)
(RIGHT_PAREN,")",18)
(COLON_DASH,":-",18)
(ID,"hates",18)
(LEFT_PAREN,"(",18)
(ID,"a",18)
(COMMA,",",18)
(ID,"b",18)
(RIGHT_PAREN,")",18)
(PERIOD,".",18)
(QUERIES,"Queries",19)
(COLON,":",19)
(ID,"loves",20)
(LEFT_PAREN,"(",20)
(ID,"A",20)
(COMMA,",",20)
(ID,"X",20)
(RIGHT_PAREN,")",20)
(Q_MARK,"?",20)
(ID,"loves",21)
(LEFT_PAREN,"(",21)
(ID,"J",21)
(COMMA,",",21)
(ID,"J",21)
(RIGHT_PAREN,")",21)
(Q_MARK,"?",21)
(ID,"loves",22)
(LEFT_PAREN,"(",22)
(STRING,"'frankk'",22)
(COMMA,",",22)
(STRING,"'mary'",22)
(RIGHT_PAREN,")",22)
(Q_MARK,"?",22)
(ID,"loves",23)
(LEFT_PAREN,"(",23)
(STRING,"'mary'",23)
(COMMA,",",23)
(STRING,"'frankk'",23)
(RIGHT_PAREN,")",23)
(Q_MARK,"?",23)
(ID,"hates",24)
(LEFT_PAREN,"(",24)
(ID,"G",24)
(COMMA,",",24)
(ID,"G",24)
(RIGHT_PAREN,")",24)
(Q_MARK,"?",24)
(ID,"hates",25)
(LEFT_PAREN,"(",25)
(STRING,"'jane'",25)
(COMMA,",",25)
(ID,"B",25)
(RIGHT_PAREN,")",25)
(Q_MARK,"?",25)
(ID,"hates",26)
(LEFT_PAREN,"(",26)
(ID,"M",26)
(COMMA,",",26)
(STRING,"'frankk'",26)
(RIGHT_PAREN,")",26)
(Q_MARK,"?",26)
(EOF,"",29)
Total Tokens = 154
